"","Code","DiagnosisType"
"1530","T67","Injury, poisoning and certain other consequences of external causes"
"1531","T68","Injury, poisoning and certain other consequences of external causes"
"1532","T69","Injury, poisoning and certain other consequences of external causes"
"1533","T70","Injury, poisoning and certain other consequences of external causes"
"1534","T71","Injury, poisoning and certain other consequences of external causes"
"1535","T73","Injury, poisoning and certain other consequences of external causes"
"1536","T74","Injury, poisoning and certain other consequences of external causes"
"1537","T75","Injury, poisoning and certain other consequences of external causes"
"1538","T76","Injury, poisoning and certain other consequences of external causes"
"1539","T78","Injury, poisoning and certain other consequences of external causes"
"1540","T79","Injury, poisoning and certain other consequences of external causes"
"1541","T80","Injury, poisoning and certain other consequences of external causes"
"1542","T81","Injury, poisoning and certain other consequences of external causes"
"1543","T82","Injury, poisoning and certain other consequences of external causes"
"1544","T83","Injury, poisoning and certain other consequences of external causes"
"1545","T84","Injury, poisoning and certain other consequences of external causes"
"1546","T85","Injury, poisoning and certain other consequences of external causes"
"1547","T86","Injury, poisoning and certain other consequences of external causes"
"1548","T87","Injury, poisoning and certain other consequences of external causes"
"1549","T88","Injury, poisoning and certain other consequences of external causes"
"1550","V00","External causes of morbidity and mortality"
"1551","V01","External causes of morbidity and mortality"
"1552","V02","External causes of morbidity and mortality"
"1553","V03","External causes of morbidity and mortality"
"1554","V04","External causes of morbidity and mortality"
"1555","V05","External causes of morbidity and mortality"
"1556","V06","External causes of morbidity and mortality"
"1557","V09","External causes of morbidity and mortality"
"1558","V10","External causes of morbidity and mortality"
"1559","V11","External causes of morbidity and mortality"
"1560","V12","External causes of morbidity and mortality"
"1561","V13","External causes of morbidity and mortality"
"1562","V14","External causes of morbidity and mortality"
"1563","V15","External causes of morbidity and mortality"
"1564","V16","External causes of morbidity and mortality"
"1565","V17","External causes of morbidity and mortality"
"1566","V18","External causes of morbidity and mortality"
"1567","V19","External causes of morbidity and mortality"
"1568","V20","External causes of morbidity and mortality"
"1569","V21","External causes of morbidity and mortality"
"1570","V22","External causes of morbidity and mortality"
"1571","V23","External causes of morbidity and mortality"
"1572","V24","External causes of morbidity and mortality"
"1573","V25","External causes of morbidity and mortality"
"1574","V26","External causes of morbidity and mortality"
"1575","V27","External causes of morbidity and mortality"
"1576","V28","External causes of morbidity and mortality"
"1577","V29","External causes of morbidity and mortality"
"1578","V30","External causes of morbidity and mortality"
"1579","V31","External causes of morbidity and mortality"
"1580","V32","External causes of morbidity and mortality"
"1581","V33","External causes of morbidity and mortality"
"1582","V34","External causes of morbidity and mortality"
"1583","V35","External causes of morbidity and mortality"
"1584","V36","External causes of morbidity and mortality"
"1585","V37","External causes of morbidity and mortality"
"1586","V38","External causes of morbidity and mortality"
"1587","V39","External causes of morbidity and mortality"
"1588","V40","External causes of morbidity and mortality"
"1589","V41","External causes of morbidity and mortality"
"1590","V42","External causes of morbidity and mortality"
"1591","V43","External causes of morbidity and mortality"
"1592","V44","External causes of morbidity and mortality"
"1593","V45","External causes of morbidity and mortality"
"1594","V46","External causes of morbidity and mortality"
"1595","V47","External causes of morbidity and mortality"
"1596","V48","External causes of morbidity and mortality"
"1597","V49","External causes of morbidity and mortality"
"1598","V50","External causes of morbidity and mortality"
"1599","V51","External causes of morbidity and mortality"
"1600","V52","External causes of morbidity and mortality"
"1601","V53","External causes of morbidity and mortality"
"1602","V54","External causes of morbidity and mortality"
"1603","V55","External causes of morbidity and mortality"
"1604","V56","External causes of morbidity and mortality"
"1605","V57","External causes of morbidity and mortality"
"1606","V58","External causes of morbidity and mortality"
"1607","V59","External causes of morbidity and mortality"
"1608","V60","External causes of morbidity and mortality"
"1609","V61","External causes of morbidity and mortality"
"1610","V62","External causes of morbidity and mortality"
"1611","V63","External causes of morbidity and mortality"
"1612","V64","External causes of morbidity and mortality"
"1613","V65","External causes of morbidity and mortality"
"1614","V66","External causes of morbidity and mortality"
"1615","V67","External causes of morbidity and mortality"
"1616","V68","External causes of morbidity and mortality"
"1617","V69","External causes of morbidity and mortality"
"1618","V70","External causes of morbidity and mortality"
"1619","V71","External causes of morbidity and mortality"
"1620","V72","External causes of morbidity and mortality"
"1621","V73","External causes of morbidity and mortality"
"1622","V74","External causes of morbidity and mortality"
"1623","V75","External causes of morbidity and mortality"
"1624","V76","External causes of morbidity and mortality"
"1625","V77","External causes of morbidity and mortality"
"1626","V78","External causes of morbidity and mortality"
"1627","V79","External causes of morbidity and mortality"
"1628","V80","External causes of morbidity and mortality"
"1629","V81","External causes of morbidity and mortality"
"1630","V82","External causes of morbidity and mortality"
"1631","V83","External causes of morbidity and mortality"
"1632","V84","External causes of morbidity and mortality"
"1633","V85","External causes of morbidity and mortality"
"1634","V86","External causes of morbidity and mortality"
"1635","V87","External causes of morbidity and mortality"
"1636","V88","External causes of morbidity and mortality"
"1637","V89","External causes of morbidity and mortality"
"1638","V90","External causes of morbidity and mortality"
"1639","V91","External causes of morbidity and mortality"
"1640","V92","External causes of morbidity and mortality"
"1641","V93","External causes of morbidity and mortality"
"1642","V94","External causes of morbidity and mortality"
"1643","V95","External causes of morbidity and mortality"
"1644","V96","External causes of morbidity and mortality"
"1645","V97","External causes of morbidity and mortality"
"1646","V98","External causes of morbidity and mortality"
"1647","V99","External causes of morbidity and mortality"
"1648","W00","External causes of morbidity and mortality"
"1649","W01","External causes of morbidity and mortality"
"1650","W03","External causes of morbidity and mortality"
"1651","W04","External causes of morbidity and mortality"
"1652","W05","External causes of morbidity and mortality"
"1653","W06","External causes of morbidity and mortality"
"1654","W07","External causes of morbidity and mortality"
"1655","W08","External causes of morbidity and mortality"
"1656","W09","External causes of morbidity and mortality"
"1657","W10","External causes of morbidity and mortality"
"1658","W11","External causes of morbidity and mortality"
"1659","W12","External causes of morbidity and mortality"
"1660","W13","External causes of morbidity and mortality"
"1661","W14","External causes of morbidity and mortality"
"1662","W15","External causes of morbidity and mortality"
"1663","W16","External causes of morbidity and mortality"
"1664","W17","External causes of morbidity and mortality"
"1665","W18","External causes of morbidity and mortality"
"1666","W19","External causes of morbidity and mortality"
"1667","W20","External causes of morbidity and mortality"
"1668","W21","External causes of morbidity and mortality"
"1669","W22","External causes of morbidity and mortality"
"1670","W23","External causes of morbidity and mortality"
"1671","W24","External causes of morbidity and mortality"
"1672","W25","External causes of morbidity and mortality"
"1673","W26","External causes of morbidity and mortality"
"1674","W27","External causes of morbidity and mortality"
"1675","W28","External causes of morbidity and mortality"
"1676","W29","External causes of morbidity and mortality"
"1677","W30","External causes of morbidity and mortality"
"1678","W31","External causes of morbidity and mortality"
"1679","W32","External causes of morbidity and mortality"
"1680","W33","External causes of morbidity and mortality"
"1681","W34","External causes of morbidity and mortality"
"1682","W35","External causes of morbidity and mortality"
"1683","W36","External causes of morbidity and mortality"
"1684","W37","External causes of morbidity and mortality"
"1685","W38","External causes of morbidity and mortality"
"1686","W39","External causes of morbidity and mortality"
"1687","W40","External causes of morbidity and mortality"
"1688","W42","External causes of morbidity and mortality"
"1689","W45","External causes of morbidity and mortality"
"1690","W46","External causes of morbidity and mortality"
"1691","W49","External causes of morbidity and mortality"
"1692","W50","External causes of morbidity and mortality"
"1693","W51","External causes of morbidity and mortality"
"1694","W52","External causes of morbidity and mortality"
"1695","W53","External causes of morbidity and mortality"
"1696","W54","External causes of morbidity and mortality"
"1697","W55","External causes of morbidity and mortality"
"1698","W56","External causes of morbidity and mortality"
"1699","W57","External causes of morbidity and mortality"
"1700","W58","External causes of morbidity and mortality"
"1701","W59","External causes of morbidity and mortality"
"1702","W60","External causes of morbidity and mortality"
"1703","W61","External causes of morbidity and mortality"
"1704","W62","External causes of morbidity and mortality"
"1705","W64","External causes of morbidity and mortality"
"1706","W65","External causes of morbidity and mortality"
"1707","W67","External causes of morbidity and mortality"
"1708","W69","External causes of morbidity and mortality"
"1709","W73","External causes of morbidity and mortality"
"1710","W74","External causes of morbidity and mortality"
"1711","W85","External causes of morbidity and mortality"
"1712","W86","External causes of morbidity and mortality"
"1713","W88","External causes of morbidity and mortality"
"1714","W89","External causes of morbidity and mortality"
"1715","W90","External causes of morbidity and mortality"
"1716","W92","External causes of morbidity and mortality"
"1717","W93","External causes of morbidity and mortality"
"1718","W94","External causes of morbidity and mortality"
"1719","W99","External causes of morbidity and mortality"
"1720","X00","External causes of morbidity and mortality"
"1721","X01","External causes of morbidity and mortality"
"1722","X02","External causes of morbidity and mortality"
"1723","X03","External causes of morbidity and mortality"
"1724","X04","External causes of morbidity and mortality"
"1725","X05","External causes of morbidity and mortality"
"1726","X06","External causes of morbidity and mortality"
"1727","X08","External causes of morbidity and mortality"
"1728","X10","External causes of morbidity and mortality"
"1729","X11","External causes of morbidity and mortality"
"1730","X12","External causes of morbidity and mortality"
"1731","X13","External causes of morbidity and mortality"
"1732","X14","External causes of morbidity and mortality"
"1733","X15","External causes of morbidity and mortality"
"1734","X16","External causes of morbidity and mortality"
"1735","X17","External causes of morbidity and mortality"
"1736","X18","External causes of morbidity and mortality"
"1737","X19","External causes of morbidity and mortality"
"1738","X30","External causes of morbidity and mortality"
"1739","X31","External causes of morbidity and mortality"
"1740","X32","External causes of morbidity and mortality"
"1741","X34","External causes of morbidity and mortality"
"1742","X35","External causes of morbidity and mortality"
"1743","X36","External causes of morbidity and mortality"
"1744","X37","External causes of morbidity and mortality"
"1745","X38","External causes of morbidity and mortality"
"1746","X39","External causes of morbidity and mortality"
"1747","X50","External causes of morbidity and mortality"
"1748","X52","External causes of morbidity and mortality"
"1749","X58","External causes of morbidity and mortality"
"1750","X71","External causes of morbidity and mortality"
"1751","X72","External causes of morbidity and mortality"
"1752","X73","External causes of morbidity and mortality"
"1753","X74","External causes of morbidity and mortality"
"1754","X75","External causes of morbidity and mortality"
"1755","X76","External causes of morbidity and mortality"
"1756","X77","External causes of morbidity and mortality"
"1757","X78","External causes of morbidity and mortality"
"1758","X79","External causes of morbidity and mortality"
"1759","X80","External causes of morbidity and mortality"
"1760","X81","External causes of morbidity and mortality"
"1761","X82","External causes of morbidity and mortality"
"1762","X83","External causes of morbidity and mortality"
"1763","X92","External causes of morbidity and mortality"
"1764","X93","External causes of morbidity and mortality"
"1765","X94","External causes of morbidity and mortality"
"1766","X95","External causes of morbidity and mortality"
"1767","X96","External causes of morbidity and mortality"
"1768","X97","External causes of morbidity and mortality"
"1769","X98","External causes of morbidity and mortality"
"1770","X99","External causes of morbidity and mortality"
"1771","Y00","External causes of morbidity and mortality"
"1772","Y01","External causes of morbidity and mortality"
"1773","Y02","External causes of morbidity and mortality"
"1774","Y03","External causes of morbidity and mortality"
"1775","Y04","External causes of morbidity and mortality"
"1776","Y07","External causes of morbidity and mortality"
"1777","Y08","External causes of morbidity and mortality"
"1778","Y09","External causes of morbidity and mortality"
"1779","Y21","External causes of morbidity and mortality"
"1780","Y22","External causes of morbidity and mortality"
"1781","Y23","External causes of morbidity and mortality"
"1782","Y24","External causes of morbidity and mortality"
"1783","Y25","External causes of morbidity and mortality"
"1784","Y26","External causes of morbidity and mortality"
"1785","Y27","External causes of morbidity and mortality"
"1786","Y28","External causes of morbidity and mortality"
"1787","Y29","External causes of morbidity and mortality"
"1788","Y30","External causes of morbidity and mortality"
"1789","Y31","External causes of morbidity and mortality"
"1790","Y32","External causes of morbidity and mortality"
"1791","Y33","External causes of morbidity and mortality"
"1792","Y35","External causes of morbidity and mortality"
"1793","Y36","External causes of morbidity and mortality"
"1794","Y37","External causes of morbidity and mortality"
"1795","Y38","External causes of morbidity and mortality"
"1796","Y62","External causes of morbidity and mortality"
"1797","Y63","External causes of morbidity and mortality"
"1798","Y64","External causes of morbidity and mortality"
"1799","Y65","External causes of morbidity and mortality"
"1800","Y66","External causes of morbidity and mortality"
"1801","Y69","External causes of morbidity and mortality"
"1802","Y70","External causes of morbidity and mortality"
"1803","Y71","External causes of morbidity and mortality"
"1804","Y72","External causes of morbidity and mortality"
"1805","Y73","External causes of morbidity and mortality"
"1806","Y74","External causes of morbidity and mortality"
"1807","Y75","External causes of morbidity and mortality"
"1808","Y76","External causes of morbidity and mortality"
"1809","Y77","External causes of morbidity and mortality"
"1810","Y78","External causes of morbidity and mortality"
"1811","Y79","External causes of morbidity and mortality"
"1812","Y80","External causes of morbidity and mortality"
"1813","Y81","External causes of morbidity and mortality"
"1814","Y82","External causes of morbidity and mortality"
"1815","Y83","External causes of morbidity and mortality"
"1816","Y84","External causes of morbidity and mortality"
"1817","Y90","External causes of morbidity and mortality"
"1818","Y92","External causes of morbidity and mortality"
"1819","Y93","External causes of morbidity and mortality"
"1820","Y95","External causes of morbidity and mortality"
"1821","Y99","External causes of morbidity and mortality"
"1822","Z00","Factors influencing health status"
"1823","Z01","Factors influencing health status"
"1824","Z02","Factors influencing health status"
"1825","Z03","Factors influencing health status"
"1826","Z04","Factors influencing health status"
"1827","Z05","Factors influencing health status"
"1828","Z08","Factors influencing health status"
"1829","Z09","Factors influencing health status"
"1830","Z11","Factors influencing health status"
"1831","Z12","Factors influencing health status"
"1832","Z13","Factors influencing health status"
"1833","Z14","Factors influencing health status"
"1834","Z15","Factors influencing health status"
"1835","Z16","Factors influencing health status"
"1836","Z17","Factors influencing health status"
"1837","Z18","Factors influencing health status"
"1838","Z19","Factors influencing health status"
"1839","Z20","Factors influencing health status"
"1840","Z21","Factors influencing health status"
"1841","Z22","Factors influencing health status"
"1842","Z23","Factors influencing health status"
"1843","Z28","Factors influencing health status"
"1844","Z29","Factors influencing health status"
"1845","Z30","Factors influencing health status"
"1846","Z31","Factors influencing health status"
"1847","Z32","Factors influencing health status"
"1848","Z33","Factors influencing health status"
"1849","Z34","Factors influencing health status"
"1850","Z36","Factors influencing health status"
"1851","Z3A","Factors influencing health status"
"1852","Z37","Factors influencing health status"
"1853","Z38","Factors influencing health status"
"1854","Z39","Factors influencing health status"
"1855","Z40","Factors influencing health status"
"1856","Z41","Factors influencing health status"
"1857","Z42","Factors influencing health status"
"1858","Z43","Factors influencing health status"
"1859","Z44","Factors influencing health status"
"1860","Z45","Factors influencing health status"
"1861","Z46","Factors influencing health status"
"1862","Z47","Factors influencing health status"
"1863","Z48","Factors influencing health status"
"1864","Z49","Factors influencing health status"
"1865","Z51","Factors influencing health status"
"1866","Z52","Factors influencing health status"
"1867","Z53","Factors influencing health status"
"1868","Z55","Factors influencing health status"
"1869","Z56","Factors influencing health status"
"1870","Z57","Factors influencing health status"
"1871","Z59","Factors influencing health status"
"1872","Z60","Factors influencing health status"
"1873","Z62","Factors influencing health status"
"1874","Z63","Factors influencing health status"
"1875","Z64","Factors influencing health status"
"1876","Z65","Factors influencing health status"
"1877","Z66","Factors influencing health status"
"1878","Z67","Factors influencing health status"
"1879","Z68","Factors influencing health status"
"1880","Z69","Factors influencing health status"
"1881","Z70","Factors influencing health status"
"1882","Z71","Factors influencing health status"
"1883","Z72","Factors influencing health status"
"1884","Z73","Factors influencing health status"
"1885","Z74","Factors influencing health status"
"1886","Z75","Factors influencing health status"
"1887","Z76","Factors influencing health status"
"1888","Z77","Factors influencing health status"
"1889","Z78","Factors influencing health status"
"1890","Z79","Factors influencing health status"
"1891","Z80","Factors influencing health status"
"1892","Z81","Factors influencing health status"
"1893","Z82","Factors influencing health status"
"1894","Z83","Factors influencing health status"
"1895","Z84","Factors influencing health status"
"1896","Z85","Factors influencing health status"
"1897","Z86","Factors influencing health status"
"1898","Z87","Factors influencing health status"
"1899","Z88","Factors influencing health status"
"1900","Z89","Factors influencing health status"
"1901","Z90","Factors influencing health status"
"1902","Z91","Factors influencing health status"
"1903","Z92","Factors influencing health status"
"1904","Z93","Factors influencing health status"
"1905","Z94","Factors influencing health status"
"1906","Z95","Factors influencing health status"
"1907","Z96","Factors influencing health status"
"1908","Z97","Factors influencing health status"
"1909","Z98","Factors influencing health status"
"1910","Z99","Factors influencing health status"
